TXNID,CREDIT_AMT,NET_CR_AMT,VALUE_DATE,UTR,RRN,AUTH,POST_DATE,BANK,STATUS,REMARKS
TXN00001,10000.00,9950.00,2025-01-10,UTR123456789,RRN123456,AUTH001,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00002,5000.00,4975.00,2025-01-10,UTR123456790,RRN123457,AUTH002,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00003,15000.00,14925.00,2025-01-10,UTR123456791,RRN123458,AUTH003,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00004,7500.00,7462.50,2025-01-10,UTR123456792,RRN123459,AUTH004,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00005,20000.00,19900.00,2025-01-10,UTR123456793,RRN123460,AUTH005,2025-01-10,AXIS,FAILED,Insufficient funds
TXN00006,3000.00,2985.00,2025-01-10,UTR123456794,RRN123461,AUTH006,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00007,12000.00,11940.00,2025-01-10,UTR123456795,RRN123462,AUTH007,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00008,8000.00,7960.00,2025-01-10,UTR123456796,RRN123463,AUTH008,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00009,25000.00,24875.00,2025-01-10,UTR123456797,RRN123464,AUTH009,2025-01-10,AXIS,SUCCESS,Payment successful
TXN00010,6000.00,5970.00,2025-01-10,UTR123456798,RRN123465,AUTH010,2025-01-10,AXIS,SUCCESS,Payment successful